Incident_ID,Timestamp,District,Province,Zone,Latitude,Longitude,Incident_Type,Severity_Level,Priority_Label,Affected_Population,Displaced_Population,Casualties,Missing_Persons,Required_Resources,Response_Time_Mins,Status,Reported_By,Report_Channel,Report_Language,Weather_Condition,Has_Photo_Evidence,Has_Video_Evidence,Offline_Submission,Is_Verified,Verified_By,Volunteers_Dispatched,Tasks_Created,Tasks_Completed,Relief_Tokens_Issued,Psych_Support_Needed,Damage_Category,Estimated_Loss_LKR,Is_Monsoon_Season,Month,Hour_Of_Day,Day_Of_Week
INC-2020-0528,2020-01-07T22:36:06.000Z,Kilinochchi,Northern,EAST_NORTH,9.370653,80.265239,Flood,1,LOW,601,0,0,0,Tarpaulins|Water Pumps|Boats,953,CLOSED,VOLUNTEER,MOBILE_APP,TAMIL,STORMY,False,False,True,True,LOCAL_AUTHORITY,0,0,0,0,False,INFRASTRUCTURE,0,False,1,22,1
INC-2020-0213,2020-01-09T12:09:36.000Z,Monaragala,Uva,DRY,6.635601,81.233129,Building Collapse,2,MEDIUM,287,0,0,0,Search Dogs|Excavators|Rescue Teams|Medical Kits,98,RESOLVED,CITIZEN,PHONE_CALL,SINHALA,SUNNY,True,False,False,False,,2,2,1,0,False,AGRICULTURAL,932965,False,1,12,3
INC-2020-0933,2020-01-10T13:13:18.000Z,Kilinochchi,Northern,EAST_NORTH,9.404036,80.317528,Forest Fire,1,LOW,315,0,0,0,Helicopters|Fire Trucks|Medical Kits,204,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,FOG,True,True,False,False,,0,0,0,0,False,NONE,0,False,1,13,4
INC-2020-1354,2020-01-11T17:10:37.000Z,Jaffna,Northern,EAST_NORTH,9.608452,80.047608,Forest Fire,1,LOW,383,0,0,0,Rescue Teams,201,RESOLVED,DMC_OFFICER,MOBILE_APP,SINHALA,OVERCAST,True,False,False,False,,0,0,0,0,False,RESIDENTIAL,0,False,1,17,5
INC-2020-1164,2020-01-12T22:52:15.000Z,Anuradhapura,NorthCentral,DRY,8.338116,80.322797,Flash Flood,3,HIGH,3033,671,0,0,Medical Kits|Dry Rations|Water Pumps|Rescue Teams,76,RESOLVED,CITIZEN,FIELD_REPORT,SINHALA,OVERCAST,True,False,False,True,DMC_OFFICER,2,2,1,111,False,INFRASTRUCTURE,1807401,False,1,22,6
INC-2020-0577,2020-01-13T22:00:35.000Z,Trincomalee,Eastern,EAST_NORTH,8.524367,81.004659,High Winds/Cyclone,2,MEDIUM,1893,0,0,0,Dry Rations|Medical Kits,67,RESOLVED,DMC_OFFICER,MOBILE_APP,SINHALA,PARTLY_CLOUDY,False,False,False,False,,1,2,0,0,False,NONE,0,False,1,22,0
INC-2020-1480,2020-01-14T17:26:34.000Z,Kurunegala,NorthWestern,DRY,7.540135,80.176177,High Winds/Cyclone,2,MEDIUM,1196,0,0,0,Medical Kits,167,CLOSED,MEDIA,MOBILE_APP,TAMIL,SUNNY,False,True,False,True,LOCAL_AUTHORITY,1,1,1,0,False,MIXED,3192879,False,1,17,1
INC-2020-0923,2020-01-16T10:43:09.000Z,Puttalam,NorthWestern,DRY,8.093314,80.184861,Drought,2,MEDIUM,570,0,0,0,Livestock Feed|Dry Rations,109,CLOSED,CITIZEN,MOBILE_APP,TAMIL,FOG,True,True,False,True,GRAMA_NILADHARI,3,3,1,0,False,RESIDENTIAL,205876,False,1,10,3
INC-2020-1463,2020-01-19T01:29:26.000Z,Puttalam,NorthWestern,DRY,8.031438,80.188278,Flood,1,LOW,203,0,0,0,Dry Rations|Medical Kits|Tarpaulins|Boats,90,RESOLVED,DMC_OFFICER,MOBILE_APP,TAMIL,PARTLY_CLOUDY,False,False,False,False,,0,0,0,0,False,MIXED,0,False,1,1,6
INC-2020-1052,2020-01-19T03:47:12.000Z,Ampara,Eastern,EAST_NORTH,7.49216,81.728656,Forest Fire,2,MEDIUM,2338,0,0,0,Fire Trucks|Medical Kits,83,RESOLVED,DMC_OFFICER,PHONE_CALL,TAMIL,STORMY,False,False,True,True,DMC_OFFICER,0,0,0,0,False,AGRICULTURAL,3098384,False,1,3,6
INC-2020-0707,2020-01-22T09:15:25.000Z,Hambantota,Southern,DRY,6.204607,81.121904,Flash Flood,2,MEDIUM,3853,0,0,0,Water Pumps|Boats|Rescue Teams|Medical Kits,46,CLOSED,DMC_OFFICER,SMS,SINHALA,STORMY,False,False,False,False,,0,0,0,0,False,RESIDENTIAL,2585461,False,1,9,2
INC-2020-1451,2020-01-24T13:56:47.000Z,Polonnaruwa,NorthCentral,DRY,7.818033,81.028566,Drought,2,MEDIUM,1788,0,0,0,Water Tankers,45,RESOLVED,CITIZEN,PHONE_CALL,SINHALA,RAINY,False,False,False,True,LOCAL_AUTHORITY,0,0,0,0,False,RESIDENTIAL,425228,False,1,13,4
INC-2020-1435,2020-01-24T22:43:32.000Z,NuwaraEliya,Central,HILL,6.8337,80.750451,Flood,2,MEDIUM,1479,0,0,0,Boats,142,RESOLVED,CITIZEN,WEB_DASHBOARD,TAMIL,OVERCAST,False,False,False,False,,1,1,0,0,False,NONE,0,False,1,22,4
INC-2020-0132,2020-01-29T09:38:13.000Z,NuwaraEliya,Central,HILL,6.891202,80.618135,Landslide,2,MEDIUM,16340,0,0,0,Ambulances|Search Dogs|Excavators|Dry Rations,86,RESOLVED,VOLUNTEER,MOBILE_APP,ENGLISH,STORMY,True,True,False,False,,2,1,1,0,False,AGRICULTURAL,70663,False,1,9,2
INC-2020-0500,2020-01-30T12:51:43.000Z,Ratnapura,Sabaragamuwa,WET,6.502168,80.474734,Landslide,1,LOW,134,0,1,0,Excavators,65,RESOLVED,DMC_OFFICER,MOBILE_APP,TAMIL,RAINY,False,False,False,False,,0,0,0,0,False,MIXED,0,False,1,12,3
INC-2020-0451,2020-01-30T18:13:58.000Z,Badulla,Uva,HILL,6.923949,81.26858,High Winds/Cyclone,2,MEDIUM,1487,0,0,0,Generators|Rescue Teams|Dry Rations|Medical Kits,138,RESOLVED,CITIZEN,FIELD_REPORT,SINHALA,PARTLY_CLOUDY,False,False,False,True,LOCAL_AUTHORITY,2,2,0,0,False,RESIDENTIAL,2286367,False,1,18,3
INC-2020-1318,2020-01-31T13:59:12.000Z,Trincomalee,Eastern,EAST_NORTH,8.486878,81.014901,Flash Flood,2,MEDIUM,1527,0,1,0,Water Pumps|Rescue Teams|Medical Kits|Boats,168,IN_PROGRESS,CITIZEN,PHONE_CALL,TAMIL,RAINY,False,False,False,True,DMC_OFFICER,0,0,0,0,False,RESIDENTIAL,21996796,False,1,13,4
INC-2020-1069,2020-02-02T20:34:46.000Z,Matara,Southern,WET,5.925304,80.724982,Flash Flood,3,HIGH,33132,10604,0,0,Boats,40,RESOLVED,LOCAL_AUTHORITY,SMS,SINHALA,OVERCAST,False,False,False,False,,6,7,4,2120,True,INFRASTRUCTURE,4301080,False,2,20,6
INC-2020-0237,2020-02-04T15:25:11.000Z,Monaragala,Uva,DRY,6.822028,81.236971,High Winds/Cyclone,1,LOW,342,0,0,0,Medical Kits,512,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAINY,True,False,False,False,,0,0,0,0,False,INFRASTRUCTURE,0,False,2,15,1
INC-2020-0116,2020-02-05T12:42:36.000Z,Ampara,Eastern,EAST_NORTH,7.243821,81.594521,Flood,2,MEDIUM,465,0,0,0,Medical Kits,292,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,PARTLY_CLOUDY,True,False,False,False,,2,3,0,0,False,INFRASTRUCTURE,17784120,False,2,12,2
INC-2020-0496,2020-02-08T07:56:32.000Z,Trincomalee,Eastern,EAST_NORTH,8.613483,81.115304,Flood,2,MEDIUM,1932,0,3,1,Water Pumps,157,CLOSED,MEDIA,MOBILE_APP,SINHALA,FOG,False,True,False,False,,3,3,3,0,False,RESIDENTIAL,263778,False,2,7,5
INC-2020-1317,2020-02-08T09:25:38.000Z,Polonnaruwa,NorthCentral,DRY,7.898824,81.157558,Earthquake,2,MEDIUM,1254,0,0,0,Ambulances,72,CLOSED,DMC_OFFICER,MOBILE_APP,ENGLISH,RAINY,False,False,False,True,VOLUNTEER,1,1,0,0,False,MIXED,697054,False,2,9,5
INC-2020-0422,2020-02-11T08:03:46.000Z,Batticaloa,Eastern,EAST_NORTH,7.743136,81.707542,Flood,2,MEDIUM,970,0,0,0,Dry Rations|Water Pumps|Tarpaulins|Medical Kits,160,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,PARTLY_CLOUDY,False,False,False,True,GRAMA_NILADHARI,1,1,0,0,False,AGRICULTURAL,1075662,False,2,8,1
INC-2020-0901,2020-02-12T18:35:16.000Z,Badulla,Uva,HILL,7.02879,81.019589,Landslide,1,LOW,1313,0,0,0,Medical Kits|Ambulances|Rescue Teams|Search Dogs,261,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAINY,False,False,False,True,LOCAL_AUTHORITY,0,0,0,0,False,AGRICULTURAL,0,False,2,18,2
INC-2020-0571,2020-02-14T01:50:34.000Z,Monaragala,Uva,DRY,6.783464,81.244246,Landslide,1,LOW,439,0,0,0,Excavators|Search Dogs|Medical Kits,42,RESOLVED,DMC_OFFICER,MOBILE_APP,ENGLISH,OVERCAST,True,False,False,True,LOCAL_AUTHORITY,0,0,0,0,False,NONE,0,False,2,1,4
INC-2020-0348,2020-02-14T15:08:50.000Z,Galle,Southern,WET,5.914987,80.192201,Flood,2,MEDIUM,1608,0,0,0,Medical Kits,155,RESOLVED,VOLUNTEER,MOBILE_APP,ENGLISH,STORMY,False,True,False,True,VOLUNTEER,0,0,0,0,False,MIXED,3519848,False,2,15,4
INC-2020-0276,2020-02-15T17:57:51.000Z,Monaragala,Uva,DRY,6.736765,81.293473,Building Collapse,1,LOW,737,0,0,0,Rescue Teams|Medical Kits|Ambulances|Excavators,66,RESOLVED,VOLUNTEER,MOBILE_APP,SINHALA,SUNNY,False,False,True,False,,0,0,0,0,False,MIXED,0,False,2,17,5
INC-2020-0050,2020-02-17T16:23:59.000Z,Polonnaruwa,NorthCentral,DRY,7.963991,81.196434,Drought,2,MEDIUM,9462,0,0,0,Water Tankers|Dry Rations,63,RESOLVED,CITIZEN,FIELD_REPORT,TAMIL,OVERCAST,False,False,False,True,DMC_OFFICER,3,3,3,0,False,RESIDENTIAL,757465,False,2,16,0
INC-2020-1248,2020-02-18T01:32:50.000Z,Gampaha,Western,WET,7.045727,79.929472,Flash Flood,2,MEDIUM,386,0,0,0,Boats|Water Pumps|Rescue Teams,58,RESOLVED,SENSOR,MOBILE_APP,ENGLISH,RAINY,False,False,False,False,,3,2,0,0,False,NONE,0,False,2,1,1
INC-2020-0573,2020-02-20T07:18:31.000Z,Kurunegala,NorthWestern,DRY,7.49209,80.427621,Drought,1,LOW,146,0,0,0,Livestock Feed,118,RESOLVED,VOLUNTEER,PHONE_CALL,ENGLISH,PARTLY_CLOUDY,False,False,False,False,,0,0,0,0,False,INFRASTRUCTURE,0,False,2,7,3
INC-2020-1427,2020-02-20T09:44:12.000Z,Kandy,Central,HILL,7.191037,80.639179,Drought,2,MEDIUM,5933,0,0,0,Dry Rations,117,IN_PROGRESS,VOLUNTEER,PHONE_CALL,TAMIL,STORMY,False,False,True,True,VOLUNTEER,3,3,2,0,False,MIXED,926976,False,2,9,3
INC-2020-1044,2020-02-20T13:44:05.000Z,Kegalle,Sabaragamuwa,WET,7.238393,80.313821,Flash Flood,2,MEDIUM,617,0,2,0,Boats,41,RESOLVED,DMC_OFFICER,WEB_DASHBOARD,ENGLISH,PARTLY_CLOUDY,False,False,False,False,,3,4,0,0,True,RESIDENTIAL,853208,False,2,13,3
INC-2020-1319,2020-02-21T19:57:02.000Z,Kilinochchi,Northern,EAST_NORTH,9.443458,80.348712,Flood,1,LOW,448,0,0,0,Tarpaulins|Water Pumps,326,RESOLVED,VOLUNTEER,SMS,SINHALA,FOG,True,False,False,True,LOCAL_AUTHORITY,0,0,0,0,False,AGRICULTURAL,0,False,2,19,4
INC-2020-0902,2020-02-23T06:28:53.000Z,Mullaitivu,Northern,EAST_NORTH,9.293566,80.615374,Medical Emergency,1,LOW,495,0,0,0,Ambulances|Medical Kits,272,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,RAINY,True,False,False,False,,0,0,0,0,False,MIXED,0,False,2,6,6
INC-2020-1279,2020-02-25T21:23:28.000Z,Kalutara,Western,WET,6.479838,80.044677,Flood,1,LOW,9764,0,0,0,Dry Rations|Tarpaulins,192,CLOSED,LOCAL_AUTHORITY,MOBILE_APP,TAMIL,PARTLY_CLOUDY,False,False,False,True,LOCAL_AUTHORITY,0,0,0,0,False,AGRICULTURAL,0,False,2,21,1
INC-2020-1219,2020-02-26T11:07:47.000Z,Anuradhapura,NorthCentral,DRY,8.250761,80.517312,Forest Fire,1,LOW,46,0,0,0,Medical Kits|Helicopters|Rescue Teams|Fire Trucks,265,RESOLVED,VOLUNTEER,SMS,ENGLISH,OVERCAST,True,False,False,False,,0,0,0,0,False,INFRASTRUCTURE,0,False,2,11,2
INC-2020-0299,2020-02-27T01:55:56.000Z,Ampara,Eastern,EAST_NORTH,7.240765,81.750092,Medical Emergency,1,LOW,7906,0,0,0,Rescue Teams|Ambulances,331,RESOLVED,LOCAL_AUTHORITY,FIELD_REPORT,SINHALA,OVERCAST,False,False,False,True,DMC_OFFICER,0,0,0,0,False,INFRASTRUCTURE,0,False,2,1,3
INC-2020-1004,2020-02-28T23:17:46.000Z,Vavuniya,Northern,EAST_NORTH,8.720895,80.427669,Medical Emergency,3,HIGH,7778,3690,3,0,Rescue Teams|Blood Supplies|Ambulances,80,IN_PROGRESS,VOLUNTEER,WEB_DASHBOARD,SINHALA,SUNNY,False,False,False,True,GRAMA_NILADHARI,5,1,0,738,False,NONE,0,False,2,23,4
INC-2020-0210,2020-02-29T10:02:37.000Z,Ampara,Eastern,EAST_NORTH,7.152482,81.793631,Building Collapse,4,CRITICAL,13506,1676,3,0,Excavators|Rescue Teams,24,IN_PROGRESS,CITIZEN,MOBILE_APP,TAMIL,RAINY,False,False,False,True,GRAMA_NILADHARI,1,1,0,558,False,MIXED,2197117,False,2,10,5
INC-2020-0903,2020-03-04T01:38:43.000Z,Hambantota,Southern,DRY,6.032136,81.269633,Coastal Erosion,3,HIGH,1359,267,1,0,Boats|Emergency Shelters|Rescue Teams,66,RESOLVED,CITIZEN,FIELD_REPORT,SINHALA,STORMY,False,True,False,True,LOCAL_AUTHORITY,6,1,1,89,False,MIXED,1573276,False,3,1,2
INC-2020-0885,2020-03-05T06:49:31.000Z,Vavuniya,Northern,EAST_NORTH,8.819305,80.350707,Coastal Erosion,3,HIGH,6589,2466,5,0,Emergency Shelters|Boats|Rescue Teams,51,ASSIGNED,CITIZEN,MOBILE_APP,SINHALA,RAINY,True,True,True,False,,5,5,5,822,True,AGRICULTURAL,247716,False,3,6,3
INC-2020-1145,2020-03-05T15:40:22.000Z,Jaffna,Northern,EAST_NORTH,9.503097,80.074838,Drought,1,LOW,154,0,0,0,Medical Kits|Water Tankers|Dry Rations|Livestock Feed,119,RESOLVED,DMC_OFFICER,MOBILE_APP,ENGLISH,FOG,True,False,False,True,LOCAL_AUTHORITY,0,0,0,0,False,AGRICULTURAL,0,False,3,15,3
INC-2020-0393,2020-03-10T02:04:10.000Z,Ampara,Eastern,EAST_NORTH,7.251095,81.65612,Flood,2,MEDIUM,5952,0,0,0,Medical Kits,147,RESOLVED,MEDIA,MOBILE_APP,SINHALA,STORMY,False,False,False,False,,2,1,1,0,False,MIXED,1393182,False,3,2,1
INC-2020-1010,2020-03-10T15:14:46.000Z,Anuradhapura,NorthCentral,DRY,8.315001,80.450384,Flood,1,LOW,1188,0,0,0,Tarpaulins|Water Pumps|Boats,91,RESOLVED,CITIZEN,PHONE_CALL,ENGLISH,RAINY,False,False,False,False,,0,0,0,0,False,AGRICULTURAL,0,False,3,15,1
INC-2020-0320,2020-03-10T20:14:58.000Z,Batticaloa,Eastern,EAST_NORTH,7.693643,81.767641,Earthquake,3,HIGH,2293,466,0,0,Rescue Teams|Emergency Shelters|Medical Kits,51,RESOLVED,LOCAL_AUTHORITY,MOBILE_APP,TAMIL,RAINY,True,False,True,True,DMC_OFFICER,2,1,0,93,False,INFRASTRUCTURE,586392,False,3,20,1
INC-2020-0147,2020-03-11T04:04:04.000Z,Kalutara,Western,WET,6.594391,80.103142,Flash Flood,2,MEDIUM,350,0,0,0,Rescue Teams|Dry Rations,268,RESOLVED,CITIZEN,WEB_DASHBOARD,SINHALA,OVERCAST,False,False,False,False,,1,1,1,0,False,NONE,0,False,3,4,2
INC-2020-0989,2020-03-11T23:07:00.000Z,Batticaloa,Eastern,EAST_NORTH,7.792874,81.550244,Earthquake,2,MEDIUM,1426,0,0,0,Emergency Shelters|Search Dogs|Ambulances,139,RESOLVED,VOLUNTEER,PHONE_CALL,SINHALA,FOG,False,False,False,True,VOLUNTEER,0,0,0,0,False,MIXED,121664,False,3,23,2
INC-2020-0269,2020-03-12T18:32:32.000Z,Galle,Southern,WET,5.975494,80.323163,Medical Emergency,1,LOW,815,0,3,0,Medical Kits,166,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,SUNNY,True,True,False,False,,0,0,0,0,True,MIXED,0,False,3,18,3
INC-2020-0726,2020-03-12T21:19:03.000Z,Anuradhapura,NorthCentral,DRY,8.270932,80.522426,Forest Fire,2,MEDIUM,395,0,1,0,Water Tankers,54,RESOLVED,SENSOR,SMS,SINHALA,PARTLY_CLOUDY,False,False,False,False,,2,3,3,0,False,INFRASTRUCTURE,348008,False,3,21,3
INC-2020-1339,2020-03-13T09:46:57.000Z,Badulla,Uva,HILL,6.90169,81.206568,Flood,2,MEDIUM,1697,0,0,0,Dry Rations|Water Pumps|Medical Kits|Tarpaulins,40,RESOLVED,CITIZEN,WEB_DASHBOARD,ENGLISH,STORMY,False,False,False,True,LOCAL_AUTHORITY,0,0,0,0,True,NONE,0,False,3,9,4
INC-2020-0436,2020-03-13T18:27:07.000Z,Mannar,Northern,EAST_NORTH,9.037001,79.872402,Flood,2,MEDIUM,2441,0,1,0,Tarpaulins|Medical Kits|Boats,277,RESOLVED,CITIZEN,MOBILE_APP,ENGLISH,FOG,False,False,False,True,GRAMA_NILADHARI,3,3,0,0,False,AGRICULTURAL,43930,False,3,18,4
INC-2020-0694,2020-03-14T02:32:59.000Z,Vavuniya,Northern,EAST_NORTH,8.653618,80.407066,Forest Fire,2,MEDIUM,2165,0,0,0,Medical Kits,185,RESOLVED,LOCAL_AUTHORITY,MOBILE_APP,SINHALA,STORMY,False,False,False,True,LOCAL_AUTHORITY,1,1,0,0,False,AGRICULTURAL,472540,False,3,2,5
INC-2020-1498,2020-03-17T08:25:46.000Z,Hambantota,Southern,DRY,6.196422,81.263729,Flash Flood,3,HIGH,1429,204,0,0,Water Pumps|Dry Rations,20,RESOLVED,CITIZEN,FIELD_REPORT,SINHALA,OVERCAST,True,False,False,True,GRAMA_NILADHARI,4,4,3,34,False,INFRASTRUCTURE,282450,False,3,8,1
INC-2020-0664,2020-03-18T08:04:20.000Z,Matale,Central,HILL,7.469635,80.610946,High Winds/Cyclone,1,LOW,39,0,0,0,Dry Rations,130,RESOLVED,CITIZEN,FIELD_REPORT,SINHALA,STORMY,False,False,True,True,LOCAL_AUTHORITY,0,0,0,0,False,RESIDENTIAL,0,False,3,8,2
INC-2020-1348,2020-03-20T07:54:38.000Z,Kurunegala,NorthWestern,DRY,7.529746,80.196758,Flood,1,LOW,1608,0,0,0,Rescue Teams|Water Pumps,310,RESOLVED,CITIZEN,MOBILE_APP,TAMIL,PARTLY_CLOUDY,True,False,False,False,,0,0,0,0,False,INFRASTRUCTURE,0,False,3,7,4
INC-2020-1399,2020-03-22T18:59:40.000Z,Kalutara,Western,WET,6.657494,80.137844,Flood,1,LOW,445,0,0,0,Boats|Rescue Teams|Dry Rations,239,RESOLVED,VOLUNTEER,WEB_DASHBOARD,SINHALA,RAINY,False,False,False,False,,0,0,0,0,False,INFRASTRUCTURE,0,False,3,18,6
INC-2020-0627,2020-03-22T21:04:59.000Z,Hambantota,Southern,DRY,6.243409,81.160256,Landslide,1,LOW,610,0,0,0,Ambulances|Excavators|Search Dogs|Dry Rations,167,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,PARTLY_CLOUDY,True,True,False,False,,0,0,0,0,False,RESIDENTIAL,0,False,3,21,6
INC-2020-1382,2020-03-23T11:55:39.000Z,Vavuniya,Northern,EAST_NORTH,8.746536,80.574623,Building Collapse,2,MEDIUM,60,0,0,0,Ambulances|Excavators|Medical Kits|Rescue Teams,102,RESOLVED,VOLUNTEER,MOBILE_APP,SINHALA,PARTLY_CLOUDY,True,False,False,False,,3,2,0,0,False,NONE,0,False,3,11,0
INC-2020-0423,2020-03-24T07:29:37.000Z,Trincomalee,Eastern,EAST_NORTH,8.594587,81.194922,Flood,1,LOW,763,0,0,0,Tarpaulins|Water Pumps|Rescue Teams|Boats,398,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,RAINY,True,False,True,True,VOLUNTEER,0,0,0,0,False,MIXED,0,False,3,7,1
INC-2020-1397,2020-03-24T13:56:31.000Z,Mullaitivu,Northern,EAST_NORTH,9.163387,80.733059,Flash Flood,2,MEDIUM,12522,0,0,0,Boats|Water Pumps|Rescue Teams,55,CLOSED,SENSOR,SMS,SINHALA,STORMY,False,False,False,False,,3,1,0,0,False,AGRICULTURAL,3378171,False,3,13,1
INC-2020-0768,2020-03-26T21:59:54.000Z,Puttalam,NorthWestern,DRY,8.027231,79.949934,Flood,2,MEDIUM,470,0,0,0,Rescue Teams,42,RESOLVED,CITIZEN,FIELD_REPORT,TAMIL,STORMY,False,False,False,True,VOLUNTEER,2,3,1,0,False,AGRICULTURAL,204448,False,3,21,3
INC-2020-0592,2020-03-31T23:53:07.000Z,Batticaloa,Eastern,EAST_NORTH,7.847637,81.54162,Flood,1,LOW,283,0,0,0,Tarpaulins|Medical Kits|Rescue Teams,433,RESOLVED,CITIZEN,MOBILE_APP,SINHALA,STORMY,True,False,False,False,,0,0,0,0,False,RESIDENTIAL,0,False,3,23,1
INC-2020-0137,2020-04-02T01:02:57.000Z,Hambantota,Southern,DRY,6.235064,81.135165,Medical Emergency,2,MEDIUM,1199,0,0,0,Rescue Teams|Blood Supplies,65,CLOSED,MEDIA,FIELD_REPORT,ENGLISH,OVERCAST,False,False,False,True,DMC_OFFICER,1,1,0,0,False,MIXED,5805574,False,4,1,3
INC-2020-0388,2020-04-02T08:20:46.000Z,Monaragala,Uva,DRY,6.627291,81.403432,Flash Flood,2,MEDIUM,409,0,4,0,Water Pumps|Medical Kits,37,RESOLVED,DMC_OFFICER,SMS,ENGLISH,FOG,False,False,True,False,,3,4,1,0,False,MIXED,22049243,False,4,8,3
INC-2020-0944,2020-04-04T19:45:38.000Z,Kalutara,Western,WET,6.452174,79.964772,High Winds/Cyclone,2,MEDIUM,735,0,0,0,Medical Kits|Emergency Shelters,82,RESOLVED,MEDIA,MOBILE_APP,SINHALA,PARTLY_CLOUDY,False,False,False,False,,1,1,1,0,False,INFRASTRUCTURE,52940,False,4,19,5
INC-2020-0123,2020-04-10T02:17:48.000Z,Hambantota,Southern,DRY,6.125772,81.229816,Drought,1,LOW,3394,0,0,0,Dry Rations,54,RESOLVED,DMC_OFFICER,MOBILE_APP,ENGLISH,PARTLY_CLOUDY,True,True,False,False,,0,0,0,0,True,RESIDENTIAL,0,False,4,2,4
