Incident_ID,Timestamp,District,Zone,Incident_Type,Severity_Level,Affected_Population,Casualties,Required_Resources,Response_Time_Mins,Status,Reported_By
INC-2018-0044,2018-10-18T02:05:28.031Z,Trincomalee,EAST_NORTH,Flood,1,886,0,Dry Rations|Medical Kits,89,RESOLVED,SENSOR
INC-2026-0045,2026-04-30T22:54:35.933Z,Gampaha,WET,Landslide,3,1245,10,Boats|Rescue Teams|Dry Rations|Medical Kits,120,RESOLVED,CITIZEN
INC-2018-0046,2018-06-14T13:09:27.740Z,Galle,WET,Flood,3,16317,0,Boats|Rescue Teams|Dry Rations|Medical Kits,106,RESOLVED,OFFICER
INC-2020-0047,2020-12-07T21:39:30.234Z,Galle,WET,Flood,3,12357,0,Boats|Rescue Teams|Dry Rations|Medical Kits,61,RESOLVED,OFFICER
INC-2023-0048,2023-09-18T09:36:41.342Z,Kurunegala,DRY,Drought,1,33112,0,Water Bowsers|Dry Rations,4172,RESOLVED,CITIZEN
INC-2026-0049,2026-01-28T00:14:48.093Z,Kandy,HILL,Landslide,2,130,0,Dry Rations|Medical Kits,118,RESOLVED,SENSOR
INC-2023-0050,2023-03-24T21:05:33.850Z,Mannar,DRY,Drought,1,20460,0,Water Bowsers|Dry Rations,2777,RESOLVED,OFFICER
INC-2025-0051,2025-09-04T19:28:11.898Z,Matale,HILL,Landslide,2,856,0,Dry Rations|Medical Kits,56,RESOLVED,SENSOR
INC-2022-0052,2022-05-26T18:21:15.801Z,Monaragala,DRY,Drought,3,17658,0,Water Bowsers|Dry Rations,1548,RESOLVED,CITIZEN
INC-2021-0053,2021-07-30T17:54:37.829Z,Gampaha,WET,Flood,3,3582,0,Boats|Rescue Teams|Dry Rations|Medical Kits,17,RESOLVED,SENSOR
INC-2023-0054,2023-11-29T11:30:28.485Z,Kurunegala,DRY,Flood,1,952,0,Dry Rations|Medical Kits,110,RESOLVED,CITIZEN
INC-2021-0055,2021-03-21T12:29:49.080Z,Vavuniya,DRY,Drought,3,115389,0,Water Bowsers|Dry Rations,3232,RESOLVED,OFFICER
INC-2024-0056,2024-10-20T02:38:45.120Z,Nuwara Eliya,HILL,Landslide,4,172,9,Boats|Rescue Teams|Dry Rations|Medical Kits,66,RESOLVED,CITIZEN
INC-2022-0057,2022-09-01T18:47:41.643Z,Matara,WET,Flood,3,9828,0,Boats|Rescue Teams|Dry Rations|Medical Kits,106,RESOLVED,CITIZEN
INC-2021-0058,2021-06-09T15:43:49.960Z,Mullaitivu,EAST_NORTH,Animal Attack,2,6,0,Wildlife Officers|Veterinary Kits,85,RESOLVED,CITIZEN
INC-2025-0059,2025-09-13T08:43:07.442Z,Vavuniya,DRY,Forest Fire,2,8,0,Fire Trucks|Air Support,109,RESOLVED,SENSOR
INC-2023-0060,2023-03-05T04:23:20.768Z,Gampaha,WET,Animal Attack,1,6,2,Wildlife Officers|Veterinary Kits,47,RESOLVED,CITIZEN
INC-2018-0061,2018-09-21T01:05:05.495Z,Kurunegala,DRY,Drought,1,42672,0,Water Bowsers|Dry Rations,3658,RESOLVED,OFFICER
INC-2021-0062,2021-03-05T17:04:48.872Z,Gampaha,WET,Flood,1,1008,0,Dry Rations|Medical Kits,36,RESOLVED,CITIZEN
INC-2026-0063,2026-05-12T17:41:28.867Z,Mannar,DRY,High Winds/Cyclone,2,964,0,,52,RESOLVED,OFFICER
INC-2025-0064,2025-06-14T05:50:40.395Z,Colombo,WET,Flood,3,12375,0,Boats|Rescue Teams|Dry Rations|Medical Kits,18,RESOLVED,OFFICER
INC-2018-0065,2018-11-11T05:16:17.126Z,Kalutara,WET,Animal Attack,1,8,0,Wildlife Officers|Veterinary Kits,86,RESOLVED,SENSOR
INC-2026-0066,2026-04-01T08:17:31.117Z,Galle,WET,Flood,2,2736,0,Dry Rations|Medical Kits,83,RESOLVED,OFFICER
INC-2022-0067,2022-04-01T04:34:51.805Z,Anuradhapura,DRY,Drought,2,60054,0,Water Bowsers|Dry Rations,1466,RESOLVED,CITIZEN
INC-2023-0068,2023-08-29T12:32:14.743Z,Hambantota,DRY,Flood,3,4419,0,Boats|Rescue Teams|Dry Rations|Medical Kits,40,RESOLVED,CITIZEN
INC-2022-0069,2022-04-29T08:54:44.455Z,Kandy,HILL,Flood,1,1371,0,Dry Rations|Medical Kits,21,RESOLVED,SENSOR
INC-2020-0070,2020-02-06T07:27:53.392Z,Batticaloa,EAST_NORTH,Flood,1,161,0,Dry Rations|Medical Kits,96,RESOLVED,OFFICER
INC-2018-0071,2018-09-29T01:39:32.183Z,Ampara,EAST_NORTH,High Winds/Cyclone,4,19536,7,,40,RESOLVED,OFFICER
INC-2023-0072,2023-09-08T06:58:20.087Z,Matara,WET,Flood,2,1188,0,Dry Rations|Medical Kits,118,RESOLVED,SENSOR
INC-2022-0073,2022-05-17T16:35:58.449Z,Mannar,DRY,Flood,2,1208,0,Dry Rations|Medical Kits,16,RESOLVED,CITIZEN
INC-2021-0074,2021-07-01T06:56:49.129Z,Matara,WET,Flood,1,694,0,Dry Rations|Medical Kits,20,RESOLVED,OFFICER
INC-2022-0075,2022-11-23T01:55:58.519Z,Monaragala,DRY,Animal Attack,1,4,2,Wildlife Officers|Veterinary Kits,44,RESOLVED,CITIZEN
INC-2025-0076,2025-05-03T23:31:53.227Z,Vavuniya,DRY,Flood,2,7136,0,Dry Rations|Medical Kits,106,RESOLVED,SENSOR
INC-2018-0077,2018-08-04T16:46:30.048Z,Batticaloa,EAST_NORTH,Drought,2,47358,0,Water Bowsers|Dry Rations,3348,RESOLVED,CITIZEN
INC-2025-0078,2025-02-20T11:56:39.171Z,Polonnaruwa,DRY,High Winds/Cyclone,2,6032,0,,37,RESOLVED,SENSOR
INC-2023-0079,2023-10-20T07:28:50.796Z,Gampaha,WET,Flood,3,5391,0,Boats|Rescue Teams|Dry Rations|Medical Kits,37,RESOLVED,OFFICER
INC-2024-0080,2024-09-11T08:35:26.011Z,Puttalam,DRY,Animal Attack,1,7,0,Wildlife Officers|Veterinary Kits,39,RESOLVED,OFFICER
INC-2026-0081,2026-05-13T16:00:32.237Z,Matale,HILL,Landslide,2,298,0,Dry Rations|Medical Kits,123,RESOLVED,OFFICER
INC-2022-0082,2022-07-30T22:10:26.349Z,Gampaha,WET,Landslide,2,262,0,Dry Rations|Medical Kits,116,RESOLVED,SENSOR
INC-2020-0083,2020-09-15T02:23:42.080Z,Nuwara Eliya,HILL,Flood,4,23024,1,Boats|Rescue Teams|Dry Rations|Medical Kits,101,RESOLVED,CITIZEN
INC-2025-0084,2025-06-09T04:30:56.661Z,Monaragala,DRY,Drought,3,63294,0,Water Bowsers|Dry Rations,3160,RESOLVED,CITIZEN
INC-2019-0085,2019-12-18T14:24:23.396Z,Kalutara,WET,Flood,1,1477,0,Dry Rations|Medical Kits,89,RESOLVED,OFFICER
INC-2019-0086,2019-03-05T22:14:28.266Z,Monaragala,DRY,Animal Attack,2,10,2,Wildlife Officers|Veterinary Kits,78,RESOLVED,SENSOR
INC-2025-0087,2025-09-30T21:42:21.360Z,Hambantota,DRY,Drought,4,83200,0,Water Bowsers|Dry Rations,3517,RESOLVED,SENSOR
INC-2026-0088,2026-03-05T22:52:48.138Z,Matale,HILL,High Winds/Cyclone,1,873,0,,87,RESOLVED,CITIZEN
INC-2019-0089,2019-03-23T22:48:10.955Z,Ampara,EAST_NORTH,Flood,1,1352,0,Dry Rations|Medical Kits,88,RESOLVED,CITIZEN
INC-2023-0090,2023-07-29T14:51:08.781Z,Hambantota,DRY,Animal Attack,1,2,0,Wildlife Officers|Veterinary Kits,52,RESOLVED,CITIZEN
INC-2019-0091,2019-09-23T18:16:51.606Z,Mullaitivu,EAST_NORTH,Drought,2,88548,0,Water Bowsers|Dry Rations,3688,RESOLVED,MEDIA
INC-2019-0092,2019-04-04T08:28:26.682Z,Polonnaruwa,DRY,Drought,2,40138,0,Water Bowsers|Dry Rations,2011,RESOLVED,CITIZEN
INC-2022-0093,2022-12-14T04:11:16.792Z,Ampara,EAST_NORTH,High Winds/Cyclone,2,6560,0,,57,RESOLVED,OFFICER
INC-2021-0094,2021-09-03T23:10:31.426Z,Kilinochchi,EAST_NORTH,Drought,2,74574,0,Water Bowsers|Dry Rations,3567,RESOLVED,SENSOR
INC-2025-0095,2025-02-11T09:20:54.295Z,Gampaha,WET,Flood,3,9873,0,Boats|Rescue Teams|Dry Rations|Medical Kits,120,RESOLVED,CITIZEN
INC-2018-0096,2018-12-25T02:05:58.840Z,Gampaha,WET,Animal Attack,1,1,1,Wildlife Officers|Veterinary Kits,74,RESOLVED,CITIZEN
INC-2018-0097,2018-12-28T08:52:58.441Z,Monaragala,DRY,Flood,2,3076,0,Dry Rations|Medical Kits,35,RESOLVED,CITIZEN
INC-2023-0098,2023-03-22T18:44:13.987Z,Polonnaruwa,DRY,Flood,1,230,0,Dry Rations|Medical Kits,115,RESOLVED,OFFICER
INC-2024-0099,2024-07-11T12:24:49.569Z,Colombo,WET,Flood,5,14150,6,Boats|Rescue Teams|Dry Rations|Medical Kits,74,RESOLVED,CITIZEN
INC-2019-0100,2019-08-03T10:53:35.989Z,Polonnaruwa,DRY,Drought,3,27534,0,Water Bowsers|Dry Rations,1934,RESOLVED,CITIZEN
INC-2018-0101,2018-07-16T03:14:11.144Z,Mullaitivu,EAST_NORTH,Animal Attack,1,6,2,Wildlife Officers|Veterinary Kits,32,RESOLVED,CITIZEN
INC-2021-0102,2021-01-31T21:22:08.978Z,Matara,WET,Flood,1,1970,0,Dry Rations|Medical Kits,74,RESOLVED,CITIZEN
INC-2018-0103,2018-06-30T00:33:03.987Z,Puttalam,DRY,Flood,2,6320,0,Dry Rations|Medical Kits,62,RESOLVED,MEDIA
INC-2021-0104,2021-02-20T03:01:41.472Z,Trincomalee,EAST_NORTH,High Winds/Cyclone,3,10692,0,,44,RESOLVED,CITIZEN
INC-2024-0105,2024-10-31T01:31:42.660Z,Mullaitivu,EAST_NORTH,Flood,2,1624,0,Dry Rations|Medical Kits,63,RESOLVED,CITIZEN
INC-2025-0106,2025-07-17T15:27:51.130Z,Gampaha,WET,High Winds/Cyclone,5,40900,7,,50,RESOLVED,CITIZEN
INC-2023-0107,2023-09-14T02:55:25.111Z,Monaragala,DRY,Drought,1,27968,0,Water Bowsers|Dry Rations,2279,RESOLVED,OFFICER
INC-2022-0108,2022-12-14T05:20:36.809Z,Trincomalee,EAST_NORTH,Flood,5,37825,10,Boats|Rescue Teams|Dry Rations|Medical Kits,116,RESOLVED,OFFICER
INC-2020-0109,2020-10-10T01:11:54.271Z,Matale,HILL,High Winds/Cyclone,2,5348,0,,58,RESOLVED,CITIZEN
INC-2023-0110,2023-01-13T03:16:46.154Z,Polonnaruwa,DRY,Flood,4,13600,6,Boats|Rescue Teams|Dry Rations|Medical Kits,67,RESOLVED,OFFICER
INC-2023-0111,2023-02-21T13:33:52.818Z,Matara,WET,Flood,4,20352,3,Boats|Rescue Teams|Dry Rations|Medical Kits,24,RESOLVED,CITIZEN
INC-2018-0112,2018-10-02T12:13:57.945Z,Monaragala,DRY,Flood,1,935,0,Dry Rations|Medical Kits,114,RESOLVED,CITIZEN
INC-2021-0113,2021-01-12T04:16:59.501Z,Hambantota,DRY,High Winds/Cyclone,1,1555,0,,80,RESOLVED,CITIZEN
INC-2021-0114,2021-03-05T23:38:36.819Z,Kegalle,HILL,Flood,1,250,0,Dry Rations|Medical Kits,69,RESOLVED,CITIZEN
INC-2024-0115,2024-04-25T14:46:33.649Z,Vavuniya,DRY,Forest Fire,1,36,0,Fire Trucks|Air Support,67,RESOLVED,OFFICER
INC-2019-0116,2019-07-13T07:56:58.806Z,Gampaha,WET,Flood,3,9567,0,Boats|Rescue Teams|Dry Rations|Medical Kits,16,RESOLVED,CITIZEN
INC-2025-0117,2025-12-28T19:05:34.860Z,Matale,HILL,Landslide,2,740,0,Dry Rations|Medical Kits,69,RESOLVED,CITIZEN
INC-2021-0118,2021-04-02T15:12:48.717Z,Galle,WET,Animal Attack,1,5,0,Wildlife Officers|Veterinary Kits,66,RESOLVED,OFFICER
INC-2022-0119,2022-08-11T09:24:38.119Z,Kurunegala,DRY,Drought,1,33685,0,Water Bowsers|Dry Rations,1898,RESOLVED,CITIZEN
INC-2023-0120,2023-01-03T10:46:07.731Z,Nuwara Eliya,HILL,Landslide,1,228,0,Dry Rations|Medical Kits,120,RESOLVED,CITIZEN
INC-2022-0121,2022-12-10T14:57:27.164Z,Kurunegala,DRY,Flood,2,6728,0,Dry Rations|Medical Kits,61,RESOLVED,SENSOR
INC-2023-0122,2023-05-28T11:50:32.939Z,Mannar,DRY,High Winds/Cyclone,3,15921,0,,59,RESOLVED,MEDIA
INC-2021-0123,2021-07-17T07:11:18.629Z,Galle,WET,High Winds/Cyclone,4,22592,1,,37,RESOLVED,CITIZEN
INC-2023-0124,2023-04-14T04:40:57.526Z,Galle,WET,Flood,1,599,0,Dry Rations|Medical Kits,54,RESOLVED,CITIZEN
INC-2018-0125,2018-01-03T18:28:28.965Z,Kandy,HILL,Flood,2,6104,0,Dry Rations|Medical Kits,64,RESOLVED,CITIZEN
INC-2025-0126,2025-08-11T13:12:34.598Z,Gampaha,WET,Flood,2,3056,0,Dry Rations|Medical Kits,18,RESOLVED,CITIZEN
INC-2020-0127,2020-01-11T08:39:36.003Z,Mullaitivu,EAST_NORTH,High Winds/Cyclone,3,8496,0,,84,RESOLVED,CITIZEN
INC-2020-0128,2020-07-03T20:44:40.035Z,Kilinochchi,EAST_NORTH,Drought,4,102244,0,Water Bowsers|Dry Rations,2878,RESOLVED,CITIZEN
INC-2024-0129,2024-11-27T20:24:54.197Z,Ratnapura,HILL,Flood,2,6808,0,Dry Rations|Medical Kits,36,RESOLVED,OFFICER
INC-2024-0130,2024-05-24T11:21:34.033Z,Kilinochchi,EAST_NORTH,Flood,1,1657,0,Dry Rations|Medical Kits,113,RESOLVED,CITIZEN
INC-2023-0131,2023-09-28T18:50:47.309Z,Polonnaruwa,DRY,Animal Attack,1,8,2,Wildlife Officers|Veterinary Kits,63,RESOLVED,CITIZEN
INC-2025-0132,2025-11-17T09:21:22.486Z,Gampaha,WET,Animal Attack,1,7,2,Wildlife Officers|Veterinary Kits,77,RESOLVED,OFFICER
INC-2024-0133,2024-10-31T15:22:21.960Z,Mullaitivu,EAST_NORTH,Drought,1,40186,0,Water Bowsers|Dry Rations,3066,RESOLVED,OFFICER
INC-2020-0134,2020-06-20T09:22:08.180Z,Galle,WET,Flood,2,1480,0,Dry Rations|Medical Kits,40,RESOLVED,CITIZEN
INC-2022-0135,2022-07-29T06:16:39.652Z,Kurunegala,DRY,Drought,2,61086,0,Water Bowsers|Dry Rations,2910,RESOLVED,SENSOR
INC-2021-0136,2021-05-17T22:20:16.874Z,Mullaitivu,EAST_NORTH,Animal Attack,1,8,0,Wildlife Officers|Veterinary Kits,69,RESOLVED,OFFICER
INC-2023-0137,2023-08-24T11:44:27.856Z,Matara,WET,Flood,3,11043,0,Boats|Rescue Teams|Dry Rations|Medical Kits,87,RESOLVED,CITIZEN
INC-2026-0138,2026-02-20T05:17:57.081Z,Ampara,EAST_NORTH,Flood,3,10818,0,Boats|Rescue Teams|Dry Rations|Medical Kits,70,RESOLVED,CITIZEN
INC-2020-0139,2020-08-18T07:05:50.591Z,Kegalle,HILL,Flood,2,6264,0,Dry Rations|Medical Kits,78,RESOLVED,CITIZEN
INC-2022-0140,2022-11-08T05:14:09.400Z,Kilinochchi,EAST_NORTH,Animal Attack,2,4,0,Wildlife Officers|Veterinary Kits,61,RESOLVED,CITIZEN
INC-2025-0141,2025-03-10T00:34:55.089Z,Galle,WET,Flood,1,1820,0,Dry Rations|Medical Kits,31,RESOLVED,SENSOR
INC-2025-0142,2025-11-06T01:34:59.337Z,Batticaloa,EAST_NORTH,High Winds/Cyclone,1,217,0,,25,RESOLVED,CITIZEN
INC-2023-0143,2023-07-10T12:52:35.315Z,Ratnapura,HILL,High Winds/Cyclone,2,628,0,,42,RESOLVED,SENSOR
INC-2021-0144,2021-05-28T03:21:49.468Z,Kandy,HILL,Landslide,3,690,10,Boats|Rescue Teams|Dry Rations|Medical Kits,63,RESOLVED,OFFICER
INC-2025-0145,2025-06-28T00:31:22.615Z,Mannar,DRY,Animal Attack,1,10,1,Wildlife Officers|Veterinary Kits,87,RESOLVED,CITIZEN
INC-2024-0146,2024-02-13T09:56:10.503Z,Matara,WET,Animal Attack,1,4,0,Wildlife Officers|Veterinary Kits,38,RESOLVED,SENSOR
INC-2018-0147,2018-09-30T21:39:34.921Z,Kandy,HILL,High Winds/Cyclone,2,4952,0,,102,RESOLVED,MEDIA
INC-2018-0148,2018-03-29T21:29:11.313Z,Colombo,WET,Flood,2,7516,0,Dry Rations|Medical Kits,108,RESOLVED,SENSOR
INC-2022-0149,2022-02-24T01:55:07.054Z,Galle,WET,High Winds/Cyclone,3,9828,0,,35,RESOLVED,CITIZEN
INC-2019-0150,2019-01-22T00:52:58.403Z,Matara,WET,Flood,3,1737,0,Boats|Rescue Teams|Dry Rations|Medical Kits,103,RESOLVED,OFFICER
INC-2022-0151,2022-09-07T04:17:11.004Z,Colombo,WET,Flood,4,29168,8,Boats|Rescue Teams|Dry Rations|Medical Kits,107,RESOLVED,MEDIA
INC-2018-0152,2018-10-01T09:19:54.900Z,Kalutara,WET,High Winds/Cyclone,2,5256,0,,67,RESOLVED,CITIZEN
INC-2023-0153,2023-01-26T13:26:00.005Z,Kalutara,WET,Animal Attack,1,4,1,Wildlife Officers|Veterinary Kits,41,RESOLVED,SENSOR
INC-2019-0154,2019-09-28T12:51:20.744Z,Hambantota,DRY,Drought,2,12638,0,Water Bowsers|Dry Rations,2413,RESOLVED,CITIZEN
INC-2022-0155,2022-11-09T13:28:27.807Z,Hambantota,DRY,Flood,1,1802,0,Dry Rations|Medical Kits,95,RESOLVED,OFFICER
INC-2018-0156,2018-06-13T03:16:07.575Z,Badulla,HILL,Landslide,2,960,0,Dry Rations|Medical Kits,114,RESOLVED,CITIZEN
INC-2020-0157,2020-07-24T15:50:33.001Z,Puttalam,DRY,Animal Attack,1,3,0,Wildlife Officers|Veterinary Kits,40,RESOLVED,OFFICER
INC-2020-0158,2020-03-15T09:28:50.338Z,Ratnapura,HILL,Landslide,1,130,0,Dry Rations|Medical Kits,168,RESOLVED,OFFICER
INC-2020-0159,2020-11-17T05:20:11.961Z,Galle,WET,Flood,2,6964,0,Dry Rations|Medical Kits,91,RESOLVED,OFFICER
INC-2022-0160,2022-02-06T09:59:07.368Z,Galle,WET,Flood,3,8631,0,Boats|Rescue Teams|Dry Rations|Medical Kits,38,RESOLVED,CITIZEN
INC-2018-0161,2018-10-20T06:05:57.707Z,Matara,WET,Flood,1,1920,0,Dry Rations|Medical Kits,97,RESOLVED,CITIZEN
INC-2025-0162,2025-04-13T15:38:13.592Z,Mullaitivu,EAST_NORTH,Animal Attack,1,2,0,Wildlife Officers|Veterinary Kits,71,RESOLVED,CITIZEN
INC-2020-0163,2020-07-24T23:23:31.806Z,Galle,WET,Flood,2,216,0,Dry Rations|Medical Kits,83,RESOLVED,CITIZEN
INC-2020-0164,2020-07-11T12:37:47.244Z,Gampaha,WET,High Winds/Cyclone,1,358,0,,60,RESOLVED,CITIZEN
INC-2025-0165,2025-04-21T07:40:27.074Z,Gampaha,WET,Flood,4,3280,2,Boats|Rescue Teams|Dry Rations|Medical Kits,36,RESOLVED,OFFICER
INC-2020-0166,2020-11-01T11:45:24.831Z,Ratnapura,HILL,Landslide,4,888,11,Boats|Rescue Teams|Dry Rations|Medical Kits,32,RESOLVED,OFFICER
INC-2021-0167,2021-05-03T11:53:57.912Z,Monaragala,DRY,Flood,2,3556,0,Dry Rations|Medical Kits,64,RESOLVED,CITIZEN
INC-2023-0168,2023-12-20T09:40:23.525Z,Mullaitivu,EAST_NORTH,High Winds/Cyclone,2,4788,0,,65,RESOLVED,CITIZEN
INC-2023-0169,2023-11-06T20:56:14.940Z,Kegalle,HILL,High Winds/Cyclone,3,9972,0,,106,RESOLVED,CITIZEN
INC-2019-0170,2019-04-11T13:40:43.343Z,Kalutara,WET,Flood,4,960,6,Boats|Rescue Teams|Dry Rations|Medical Kits,115,RESOLVED,OFFICER
INC-2025-0171,2025-09-19T11:48:27.279Z,Batticaloa,EAST_NORTH,Drought,5,109340,0,Water Bowsers|Dry Rations,3293,RESOLVED,CITIZEN
INC-2024-0172,2024-01-25T20:45:46.934Z,Kurunegala,DRY,High Winds/Cyclone,2,2720,0,,103,RESOLVED,OFFICER
